asn,name,cc,users,country_pct,internet_pct,samples
4134,CHINANET-BACKBONE No.31 Jin-rong Street,CN,294831303,35.72,7.0844,5713859
55836,RELIANCEJIO-IN Reliance Jio Infocomm Limited,IN,292826648,49.84,7.0362,97193045
45609,BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service,IN,148387905,25.25,3.5656,49251912
4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN,141366274,17.13,3.3968,2739692
9808,CHINAMOBILE-CN China Mobile Communications Group Co.  Ltd.,CN,105492871,12.78,2.5349,2044462
197207,MCCI-AS,IR,61708380,99.63,1.4828,5516868
4812,CHINANET-SH-AP China Telecom Group,CN,36819837,4.46,0.8847,713572
29465,VCG-AS,NG,36798066,57.94,0.8842,6780757
38266,VODAFONE-IN Vodafone India Ltd.,IN,35835743,6.10,0.8611,11894358
7713,TELKOMNET-AS-AP PT Telekomunikasi Indonesia,ID,35445028,30.47,0.8517,21695071
7922,COMCAST-7922,US,35403213,14.16,0.8507,6766236
8452,TE-AS TE-AS,EG,34063524,64.53,0.8185,18922469
8151,Uninet S.A. de C.V.,MX,30733421,33.85,0.7385,11330043
4808,CHINA169-BJ China Unicom Beijing Province Network,CN,30695977,3.72,0.7376,594891
56046,CMNET-JIANGSU-AP China Mobile communications corporation,CN,26882477,3.26,0.6460,520985
24757,EthioNet-AS,ET,25785109,96.15,0.6196,2881333
9299,IPG-AS-AP Philippine Long Distance Telephone Company,PH,25203171,34.49,0.6056,12319083
23693,TELKOMSEL-ASN-ID PT. Telekomunikasi Selular,ID,24737668,21.26,0.5944,15141347
45271,ICLNET-AS-AP Idea Cellular Limited,IN,23553916,4.01,0.5660,7817857
4766,KIXS-AS-KR Korea Telecom,KR,20468792,40.09,0.4918,5820993
2516,KDDI KDDI CORPORATION,JP,20319551,17.97,0.4883,665488
21859,ZEN-ECN,US,19849647,7.94,0.4770,3793650
7552,VIETEL-AS-AP Viettel Group,VN,19646721,36.63,0.4721,3691234
7018,ATT-INTERNET4,US,19573171,7.83,0.4703,3740810
9121,TTNET,TR,19187760,30.29,0.4611,4326373
45899,VNPT-AS-VN VNPT Corp,VN,18664787,34.80,0.4485,3506748
21928,T-MOBILE-AS21928,US,18631214,7.45,0.4477,3560784
56040,CMNET-GUANGDONG-AP China Mobile communications corporation,CN,18507906,2.24,0.4447,358685
24444,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited,CN,17922976,2.17,0.4307,347349
3209,VODANET International IP-Backbone of Vodafone,DE,17721106,25.06,0.4258,777730
3320,DTAG Internet service provider operations,DE,17651837,24.96,0.4242,774690
36903,MT-MPLS,MA,17438606,70.83,0.4190,4147717
4713,OCN NTT Communications Corporation,JP,16983146,15.02,0.4081,556217
12389,ROSTELECOM-AS,RU,16871675,14.23,0.4054,228277
6167,CELLCO-PART,US,15392456,6.15,0.3699,2941795
36947,ALGTEL-AS,DZ,15389229,62.38,0.3698,2372991
17676,GIGAINFRA Softbank BB Corp.,JP,14786885,13.08,0.3553,484287
24400,CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co. Ltd.,CN,13999001,1.70,0.3364,271302
7303,Telecom Argentina S.A.,AR,13759752,36.53,0.3306,1253181
4761,INDOSAT-INP-AP INDOSAT Internet Network Provider,ID,13340466,11.47,0.3206,8165387
9829,BSNL-NIB National Internet Backbone,IN,13225946,2.25,0.3178,4389867
24560,AIRTELBROADBAND-AS-AP Bharti Airtel Ltd.  Telemedia Services,IN,12870769,2.19,0.3093,4271979
36873,VNL1-AS,NG,12801171,20.15,0.3076,2358864
50710,EARTHLINK-AS,IQ,12492336,36.31,0.3002,3006696
39891,ALJAWWALSTC-AS,SA,12441726,38.06,0.2990,3042710
17639,CONVERGE-AS Converge ICT Solutions Inc.,PH,12437248,17.02,0.2989,6079215
3215,France Telecom - Orange,FR,12063515,22.34,0.2899,1032969
17072,TOTAL PLAY TELECOMUNICACIONES SA DE CV,MX,11743787,12.93,0.2822,4329411
9318,SKB-AS SK Broadband Co Ltd,KR,11657503,22.83,0.2801,3315205
3352,TELEFONICA_DE_ESPANA,ES,11606689,27.42,0.2789,746799
5607,BSKYB-BROADBAND-AS,GB,11372606,17.42,0.2733,1638466
28573,CLARO S.A.,BR,11243697,6.87,0.2702,1771751
13999,Mega Cable  S.A. de C.V.,MX,11013582,12.13,0.2646,4060217
2856,BT-UK-AS BTnet UK Regional network,GB,10999354,16.85,0.2643,1584691
56048,CMNET-BEIJING-AP China Mobile Communicaitons Corporation,CN,10818831,1.31,0.2600,209670
5089,NTL,GB,10797461,16.54,0.2594,1555604
24203,NAPXLNET-AS-ID PT XL Axiata,ID,10592104,9.10,0.2545,6483179
3462,HINET Data Communication Business Group,TW,10429454,39.99,0.2506,1590746
18403,FPT-AS-AP FPT Telecom Company,VN,10186346,18.99,0.2448,1913815
6805,TDDE-ASN1,DE,10100116,14.28,0.2427,443266
4538,ERX-CERNET-BKB China Education and Research Network Center,CN,10097731,1.22,0.2426,195695
12876,Online SAS,FR,9969247,18.46,0.2395,853642
136255,TIMCL-AS-AP Telecom International Myanmar Co.  Ltd,MM,9657051,45.01,0.2320,2956056
132199,GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.,PH,9647487,13.20,0.2318,4715605
17621,CNCGROUP-SH China Unicom Shanghai network,CN,9379932,1.14,0.2254,181784
8359,MTS,RU,9365647,7.90,0.2250,126719
4788,TMNET-AS-AP TM Net  Internet Service Provider,MY,9350966,33.49,0.2247,5945698
30986,SCANCOM,GH,9307765,68.54,0.2237,4432146
8048,CANTV Servicios  Venezuela,VE,9277979,46.98,0.2229,1007039
20115,CHARTER-20115,US,9180409,3.67,0.2206,1754553
701,UUNET,US,9083710,3.63,0.2183,1736072
10620,Telmex Colombia S.A.,CO,8986171,25.73,0.2159,1148484
7738,Telemar Norte Leste S.A.,BR,8839238,5.40,0.2124,1392863
56044,CMNET-AS-LIAONING China Mobile communications corporation,CN,8818274,1.07,0.2119,170899
17816,CHINA169-GZ China Unicom IP network China169 Guangdong province,CN,8707335,1.05,0.2092,168749
10139,SMARTBRO-PH-AP Smart Broadband  Inc.,PH,8626840,11.81,0.2073,4216722
30873,PTC-YEMENNET,YE,8543037,97.05,0.2053,980566
12479,UNI2-AS,ES,8539102,20.18,0.2052,549424
4775,GLOBE-TELECOM-AS Globe Telecoms,PH,8460700,11.58,0.2033,4135514
6147,Telefonica del Peru S.A.A.,PE,8446196,46.34,0.2030,1028983
17552,TRUEONLINE-AS-AP True Online,TH,8422882,18.78,0.2024,1858388
24547,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited,CN,8320495,1.01,0.1999,161252
24389,GRAMEENPHONE-AS-AP GrameenPhone Ltd.,BD,8284534,24.96,0.1991,12457431
28403,RadioMovil Dipsa  S.A. de C.V.,MX,8257564,9.09,0.1984,3044196
1221,ASN-TELSTRA Telstra Corporation Ltd,AU,8214910,36.76,0.1974,967245
1267,ASN-WINDTRE IUNET,IT,8057161,21.08,0.1936,621505
3269,ASN-IBSNAZ,IT,7999692,20.93,0.1922,617072
56047,CMNET-HUNAN-AP China Mobile communications corporation,CN,7981074,0.97,0.1918,154674
30722,VODAFONE-IT-ASN,IT,7818975,20.46,0.1879,603132
9605,DOCOMO NTT DOCOMO  INC.,JP,7749018,6.85,0.1862,253789
34984,TELLCOM-AS,TR,7733153,12.21,0.1858,1743638
45727,THREE-AS-ID Hutchison CP Telecommunications  PT,ID,7694125,6.61,0.1849,4709394
131445,AIS3G-2100-AS-AP Advance Wireless Network,TH,7614549,16.97,0.1830,1680041
5384,EMIRATES-INTERNET Emirates Internet,AE,7482202,75.74,0.1798,1653546
16345,BEE-AS Russia,RU,7422954,6.26,0.1784,100434
25019,SAUDINETSTC-AS,SA,7346871,22.48,0.1765,1796728
15557,LDCOMNET,FR,7258319,13.44,0.1744,621512
17858,POWERVIS-AS-KR LG POWERCOMM,KR,7229209,14.16,0.1737,2055870
8708,RCS-RDS 73-75 Dr. Staicovici,RO,7088314,51.94,0.1703,2555302
5617,TPNET,PL,7035058,22.56,0.1690,669218
8193,BRM-AS,UZ,7013362,34.20,0.1685,478948
20057,ATT-MOBILITY-LLC-AS20057,US,6924142,2.77,0.1664,1323337
17557,PKTELECOM-AS-PK Pakistan Telecommunication Company Limited,PK,6893311,19.03,0.1656,6404899
17622,CNCGROUP-GZ China Unicom Guangzhou network,CN,6885517,0.83,0.1655,133442
35819,MOBILY-AS Etihad Etisalat Company Mobily,SA,6812471,20.84,0.1637,1666037
27725,Empresa de Telecomunicaciones de Cuba  S.A.,CU,6772283,99.97,0.1627,102828
45629,JASTEL-NETWORK-TH-AP JasTel Network International Gateway,TH,6767805,15.09,0.1626,1493219
28548,Cablevision  S.A. de C.V.,MX,6724238,7.41,0.1616,2478927
29256,INT-PDN-STE-AS STE PDN Internal AS,SY,6704329,100.00,0.1611,1846746
22773,ASN-CXA-ALL-CCI-22773-RDC,US,6574915,2.63,0.1580,1256593
12322,PROXAD,FR,6513641,12.06,0.1565,557747
24432,AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider Gulshan-1 Dhaka-1212,BD,6497018,19.57,0.1561,9769548
29571,ORANGE-COTE-IVOIRE,CI,6428197,50.16,0.1545,431663
15706,Sudatel,SD,6412769,41.54,0.1541,479241
577,BACOM,CA,6376981,17.58,0.1532,734221
59257,CMPAKLIMITED-AS-AP CMPak Limited,PK,6326839,17.47,0.1520,5878564
4847,CNIX-AP China Networks Inter-Exchange,CN,6323498,0.77,0.1519,122550
15895,KSNET-AS,UA,6321128,22.42,0.1519,3488458
16135,TURKCELL-AS Turkcell A.S.,TR,6295047,9.94,0.1513,1419380
26599,TELEFONICA BRASIL S.A,BR,6252063,3.82,0.1502,985183
328309,Globacom-AS,NG,6209056,9.78,0.1492,1144139
5410,BOUYGTEL-ISP,FR,6130586,11.36,0.1473,524947
47331,TTNET,TR,5966617,9.42,0.1434,1345327
15897,VODAFONETURKEY,TR,5953884,9.40,0.1431,1342456
56041,CMNET-ZHEJIANG-AP China Mobile communications corporation,CN,5893675,0.71,0.1416,114220
10796,TWC-10796-MIDWEST,US,5820234,2.33,0.1399,1112359
37075,ZAINUGAS,UG,5644473,43.59,0.1356,593245
133481,AIS-FIBRE-AS-AP AIS Fibre,TH,5522530,12.31,0.1327,1218467
18004,WIRELESSNET-ID PT WIRELESS INDONESIA  WIN ,ID,5396759,4.64,0.1297,3303230
5713,SAIX-NET,ZA,5361530,15.04,0.1288,411112
9198,KAZTELECOM-AS,KZ,5328385,35.11,0.1280,434019
206206,KNET,IQ,5324296,15.47,0.1279,1281469
33771,SAFARICOM-LIMITED,KE,5254661,50.80,0.1263,2507668
132061,REALMOVE-AS-AP Realmove Company Limited,TH,5209507,11.61,0.1252,1149403
36935,Vodafone-,EG,5187053,9.83,0.1246,2881436
9988,MPT-AP Myanma Posts and Telecommunications,MM,5169959,24.09,0.1242,1582542
15704,AS15704,ES,5135826,12.13,0.1234,330450
9534,MAXIS-AS1-AP Binariang Berhad,MY,5116520,18.33,0.1229,3253277
24445,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co. Ltd,CN,5032431,0.61,0.1209,97529
28126,BRISANET SERVICOS DE TELECOMUNICACOES LTDA,BR,4990935,3.05,0.1199,786458
209,CENTURYLINK-US-LEGACY-QWEST,US,4956575,1.98,0.1191,947297
16637,MTNNS-AS,ZA,4937458,13.85,0.1186,378595
8346,SONATEL SONATEL-AS Autonomous System,SN,4925054,80.23,0.1183,648991
37342,MOVITEL,MZ,4880065,62.18,0.1173,780630
45669,MOBILINK-AS-PK PMCL LDI IP TRANSIT,PK,4874608,13.46,0.1171,4529228
12430,VODAFONE_ES,ES,4858248,11.48,0.1167,312590
812,ROGERS-COMMUNICATIONS,CA,4775937,13.17,0.1148,549883
22085,Claro SA,BR,4745088,2.90,0.1140,747718
20294,MTN-,UG,4710541,36.38,0.1132,495087
36925,ASMedi,MA,4708240,19.12,0.1131,1119840
20978,TT_MOBIL Istanbul,TR,4693765,7.41,0.1128,1058330
26615,TIM SA,BR,4685904,2.86,0.1126,738392
27831,Colombia Movil,CO,4680674,13.40,0.1125,598217
36992,ETISALAT-MISR,EG,4623485,8.76,0.1111,2568371
12252,America Movil Peru S.A.C.,PE,4602916,25.25,0.1106,560764
2527,SO-NET Sony Network Communications Inc.,JP,4574042,4.05,0.1099,149805
3816,COLOMBIA TELECOMUNICACIONES S.A. ESP,CO,4572596,13.09,0.1099,584404
29975,VODACOM-,ZA,4571239,12.83,0.1098,350514
43766,MTC-KSA-AS,SA,4507290,13.79,0.1083,1102289
36972,MTN,SD,4409485,28.56,0.1060,329531
27747,Telecentro S.A.,AR,4383434,11.64,0.1053,399225
33915,TNF-AS,NL,4313342,26.28,0.1036,727282
17421,EMOME-NET Mobile Business Group,TW,4296028,16.47,0.1032,655249
